Client Code,TradeDate,Segment,ScripName,ScripCode,Strike Price,ExpiryDate,ISIN,BuyQty,BuyPrice,BuyAmount,SellQty,SellPrice,SellAmount,Ord,
105629,21/09/2020,CASH,AXIS BANK LTD.,,0,,INE238A01034,1,430.00,430.00,0,0.00,0.00,1600659,
105629,19/10/2020,CASH,AXIS BANK LTD.,,0,,INE238A01034,0,0.00,0.00,5,492.00,2460.00,10000,
105629,21/12/2020,CASH,AXIS BANK LTD.,,0,,INE238A01034,1,590.00,590.00,0,0.00,0.00,10000,
105629,29/12/2020,CASH,AXIS BANK LTD.,,0,,INE238A01034,1,629.00,629.00,0,0.00,0.00,10000,
105629,11/01/2021,CASH,AXIS BANK LTD.,,0,,INE238A01034,1,662.00,662.00,0,0.00,0.00,10000,
105629,16/03/2021,CASH,AXIS BANK LTD.,,0,,INE238A01034,1,737.00,737.00,0,0.00,0.00,10000,
105629,17/12/2021,CASH,AXIS BANK LTD.,,0,,INE238A01034,1,691.00,691.00,0,0.00,0.00,10000,
105629,20/12/2021,CASH,AXIS BANK LTD.,,0,,INE238A01034,1,674.00,674.00,0,0.00,0.00,10000,
105629,06/04/2022,CASH,AXIS BANK LTD.,,0,,INE238A01034,1,770.00,770.00,0,0.00,0.00,10000,
105629,14/09/2022,CASH,AXIS BANK LTD.,,0,,INE238A01034,2,804.00,1608.00,0,0.00,0.00,10000,
105629,14/09/2022,CASH,AXIS BANK LTD.,,0,,INE238A01034,1,800.00,800.00,0,0.00,0.00,10000,
105629,22/07/2020,CASH,BALRAMPUR CHINI MILLS LTD.,,0,,INE119A01028,10,131.40,1314.00,0,0.00,0.00,10000,
105629,10/08/2020,CASH,BALRAMPUR CHINI MILLS LTD.,,0,,INE119A01028,0,0.00,0.00,10,133.00,1330.00,10000,
105629,14/07/2020,CASH,Bandhan Bank Limited,,0,,INE545U01014,10,345.00,3450.00,0,0.00,0.00,10000,
105629,03/08/2020,CASH,Bandhan Bank Limited,,0,,INE545U01014,5,316.00,1580.00,0,0.00,0.00,10000,
105629,18/01/2022,CASH,Bandhan Bank Limited,,0,,INE545U01014,0,0.00,0.00,10,302.00,3020.00,10000,
105629,16/02/2022,CASH,Bandhan Bank Limited,,0,,INE545U01014,0,0.00,0.00,1,325.25,325.25,1644982,
105629,16/02/2022,CASH,Bandhan Bank Limited,,0,,INE545U01014,0,0.00,0.00,1,325.25,325.25,1644982,
105629,16/02/2022,CASH,Bandhan Bank Limited,,0,,INE545U01014,0,0.00,0.00,1,325.25,325.25,1644982,
105629,16/02/2022,CASH,Bandhan Bank Limited,,0,,INE545U01014,0,0.00,0.00,1,325.25,325.25,1644982,
105629,16/02/2022,CASH,Bandhan Bank Limited,,0,,INE545U01014,0,0.00,0.00,1,325.25,325.25,1644982,
105629,19/10/2020,CASH,BANK OF BARODA,,0,,INE028A01039,20,43.30,866.00,0,0.00,0.00,10000,
105629,20/10/2020,CASH,BANK OF BARODA,,0,,INE028A01039,0,0.00,0.00,1,42.15,42.15,10000,
105629,21/10/2020,CASH,BANK OF BARODA,,0,,INE028A01039,0,0.00,0.00,19,43.15,819.85,10000,
105629,03/08/2020,CASH,BANK OF MAHARASHTRA,,0,,INE457A01014,50,11.90,595.00,0,0.00,0.00,12000,
105629,02/12/2020,CASH,BANK OF MAHARASHTRA,,0,,INE457A01014,0,0.00,0.00,50,12.50,625.00,12000,
105629,21/09/2020,CASH,BHARAT ELECTRONICS LTD.,,0,,INE263A01024,5,100.00,500.00,0,0.00,0.00,10000,
105629,24/09/2020,CASH,BHARAT ELECTRONICS LTD.,,0,,INE263A01024,5,92.00,460.00,0,0.00,0.00,10000,
105629,24/09/2020,CASH,BHARAT ELECTRONICS LTD.,,0,,INE263A01024,5,91.00,455.00,0,0.00,0.00,10000,
105629,24/09/2020,CASH,BHARAT ELECTRONICS LTD.,,0,,INE263A01024,5,90.00,450.00,0,0.00,0.00,10000,
105629,25/09/2020,CASH,BHARAT ELECTRONICS LTD.,,0,,INE263A01024,5,93.90,469.50,0,0.00,0.00,10000,
105629,10/08/2021,CASH,BHARAT ELECTRONICS LTD.,,0,,INE263A01024,5,170.20,851.00,0,0.00,0.00,10000,
105629,01/11/2021,CASH,BHARAT ELECTRONICS LTD.,,0,,INE263A01024,5,200.00,1000.00,0,0.00,0.00,1635745,
105629,02/11/2021,CASH,BHARAT ELECTRONICS LTD.,,0,,INE263A01024,10,203.00,2030.00,0,0.00,0.00,1635834,
105629,30/11/2021,CASH,BHARAT ELECTRONICS LTD.,,0,,INE263A01024,5,203.00,1015.00,0,0.00,0.00,1638261,
105629,20/12/2021,CASH,BHARAT ELECTRONICS LTD.,,0,,INE263A01024,5,195.00,975.00,0,0.00,0.00,10000,
105629,25/01/2022,CASH,BHARAT ELECTRONICS LTD.,,0,,INE263A01024,10,201.90,2019.00,0,0.00,0.00,10000,
105629,30/03/2022,CASH,BHARAT ELECTRONICS LTD.,,0,,INE263A01024,5,210.00,1050.00,0,0.00,0.00,10000,
105629,31/03/2022,CASH,BHARAT ELECTRONICS LTD.,,0,,INE263A01024,5,207.50,1037.50,0,0.00,0.00,10000,
105629,12/05/2022,CASH,BHARAT ELECTRONICS LTD.,,0,,INE263A01024,5,219.00,1095.00,0,0.00,0.00,10000,
105629,16/05/2022,CASH,BHARAT ELECTRONICS LTD.,,0,,INE263A01024,5,226.00,1130.00,0,0.00,0.00,10000,
105629,17/05/2022,CASH,BHARAT ELECTRONICS LTD.,,0,,INE263A01024,5,228.00,1140.00,0,0.00,0.00,10000,
105629,18/05/2022,CASH,BHARAT ELECTRONICS LTD.,,0,,INE263A01024,5,233.00,1165.00,0,0.00,0.00,10000,
105629,21/06/2022,CASH,BHARAT ELECTRONICS LTD.,,0,,INE263A01024,1,230.35,230.35,0,0.00,0.00,10000,
105629,21/06/2022,CASH,BHARAT ELECTRONICS LTD.,,0,,INE263A01024,4,230.20,920.80,0,0.00,0.00,10000,
105629,15/07/2022,CASH,BHARAT ELECTRONICS LTD.,,0,,INE263A01024,5,241.00,1205.00,0,0.00,0.00,10000,
105629,19/08/2022,CASH,BHARAT ELECTRONICS LTD.,,0,,INE263A01024,5,285.00,1425.00,0,0.00,0.00,10000,
105629,26/09/2022,CASH,BHARAT ELECTRONICS LTD.,,0,,INE263A01024,10,100.00,1000.00,0,0.00,0.00,10000,
105629,24/10/2022,CASH,BHARAT ELECTRONICS LTD.,,0,,INE263A01024,5,104.50,522.50,0,0.00,0.00,10000,
105629,13/08/2020,CASH,BHARAT HEAVY ELECTRICALS LTD.,,0,,INE257A01026,20,39.10,782.00,0,0.00,0.00,10000,
105629,13/08/2020,CASH,BHARAT HEAVY ELECTRICALS LTD.,,0,,INE257A01026,20,39.00,780.00,0,0.00,0.00,10000,
105629,26/02/2021,CASH,BHARAT HEAVY ELECTRICALS LTD.,,0,,INE257A01026,20,47.00,940.00,0,0.00,0.00,10000,
105629,20/05/2021,CASH,BHARAT HEAVY ELECTRICALS LTD.,,0,,INE257A01026,10,76.00,760.00,0,0.00,0.00,10000,
105629,26/05/2021,CASH,BHARAT HEAVY ELECTRICALS LTD.,,0,,INE257A01026,10,72.40,724.00,0,0.00,0.00,10000,
105629,06/04/2022,CASH,BHARAT HEAVY ELECTRICALS LTD.,,0,,INE257A01026,0,0.00,0.00,40,57.00,2280.00,10000,
105629,01/06/2022,CASH,BHARAT HEAVY ELECTRICALS LTD.,,0,,INE257A01026,0,0.00,0.00,40,51.50,2060.00,10000,
105629,23/07/2020,CASH,BHARAT PETROLEUM CORPORATION L,,0,,INE029A01011,5,470.00,2350.00,0,0.00,0.00,10000,
105629,27/05/2021,CASH,BHARAT PETROLEUM CORPORATION L,,0,,INE029A01011,2,469.00,938.00,0,0.00,0.00,10000,
105629,28/05/2021,CASH,BHARAT PETROLEUM CORPORATION L,,0,,INE029A01011,3,470.00,1410.00,0,0.00,0.00,10000,
105629,27/12/2021,CASH,BHARAT PETROLEUM CORPORATION L,,0,,INE029A01011,5,374.10,1870.50,0,0.00,0.00,10000,
105629,29/12/2021,CASH,BHARAT PETROLEUM CORPORATION L,,0,,INE029A01011,5,380.00,1900.00,0,0.00,0.00,10000,
